Enllaç;Títol;Etiquetes;Data i hora;Preu;Repertori
https://www.palaumusica.cat/es/julia-gallego_1301313;Júlia Gállego;#cámara;;;"Este evento ya se ha celebrado. Te invitamos a explorar la programación actual#cámaraJúlia GállegoFicha artísticaJúlia Gállego, flautaTimothy Lissimore, pianoProgramaN. Campogrande: Forme di felicità (flauta y piano; original para violín y piano; estreno mundial de la versión para flauta y piano)J. Torres: Sortilegio (flauta sola)É. Bertrand: Impressions liturgiques (flauta y piano)M. Barzel Ross: The whale’s shadow for solo flute for Júlia Gállego 2025 (flauta en Sol y flauta; original para violonchelo -The whale’s song 2020-, reimaginada y dedicada para la ocasión)P. Kopatchinskaja: Luna for Júlia & Pierrot & Arnold (flauta sola; encargo de BCN Clàssics para la ocasión)N. Campogrande: Soffio Blu (original para flauta y orquesta de cuerdas; estreno mundial del arreglo para flauta y piano)DetallesJulia Gállego estudió flauta travesera en el Conservatorio Óscar Esplá de Alicante, el Conservatoire Héctor Berlioz de París y el Conservatoire National Supérieur de Musique et de Danse de París, con los profesores Alain Marion, Raymond Guiot, Sophie Cherrier y Vincent Lucas.
Ha formado parte de la Joven Orquesta Nacional de España (1992-1996) y de la Gustav Mahler Jugendorchester (1997-2001), y ha sido flauta solista de la Orquesta Sinfónica de Tenerife (1997-1999) y de la Orquesta Sinfónica de Galicia (2001-2002)."
https://www.palaumusica.cat/es/el-kanka_1395370;El Kanka;#moderna;;;Este evento ya se ha celebrado. Te invitamos a explorar la programación actual#modernaEl KankaFicha artísticaEl KankaDetallesIMPORTANTE: Los menores de 16 años sólo podrán acceder al recinto acompañados de su padre, madre o tutor legal. Imprescindible presentar la Hoja de responsabilidad (ver documentos adjuntos) debidamente impresa y cumplimentada.Autorización menores
https://www.palaumusica.cat/es/-videojuegos-en-concierto_1308650;‘¡Videojuegos en concierto!’;#sinfónica,#nuevosformatos,#enfamilia,#gradajoven,#conciertosaccesibles,#modernismo;05/04/2025 17:30;de 23 a 78 €;"#sinfónica#nuevosformatos#enfamilia#gradajoven#conciertosaccesibles#modernismo‘¡Videojuegos en concierto!’—Orquestra Simfònica del Vallès & RondaNotaConcierto con proyección de imágenes.
Concierto en colaboración con Games & Symphonies.Ficha artísticaCor Jove Amics de la Unió (Marta Dosaiguas, directora)Orquestra Simfònica del VallèsAdrián Ronda, directorProgramaBandas sonoras de videojuegos: Fallout, Hollow Knight, Prince of Persia: The Lost Crown, Civilization, Assassin's Creed, Ori, Hades, Starfield, Neva, Sea of Stars, Gris...DetallesTras el éxito de la pasada temporada, vuelve al Palau de la Música Catalana una nueva propuesta sinfónica con algunas de las mejores bandas sonoras de videojuegos: Fallout, Hollow Knight, Prince of Persia: The Lost Crown, Civilization, Assassin's Creed, Ori, Hades, Starfield, Neva, Sea of Stars, Gris...
Los videojuegos, una de las industrias culturales que mueve más pasiones y cifras de negocio, no podían ser ajenos a la fuerza de la música y ha acabado fichando a algunos de los talentos compositivos más inspirados del nuestro tiempo. Una música sorprendente ya equiparada a los estándares de las bandas sonoras de películas llenará el magnificente recinto modernista de aventuras, torrentes de emociones y proyecciones en pantalla para multiplicar la experiencia que vincula algunos de los mejores títulos de la industria con la música de instrumentación clásica. Un concierto en colaboración con Games&Symphonies, dirigido por Adrián Ronda y la participación del Cor Jove Amics de la Unió.Oferta especialVisita libre+ Concierto
El Palau es un templo de la música y la arquitectura. Disfruta de una visita libre para conocer la historia y construcción de la única sala de conciertos modernista patrimonio mundial por la UNESCO (16 h) y de un concierto (17:30 h) para entender la magia de lo que no es solo un monumento, sino una sala viva.
Precio 55 €. Hay que elegir butaca en la categoría C (primer piso lateral filas 3 y 4, segundo piso entre las filas 2 y 11, palcos del segundo piso fila 1 y galerías del órgano) y seleccionar en el desplegable la tarifa ""Visita libre + concierto"". Inicio visita a las 16 h.
Compra aquíComprar entradas"
https://www.palaumusica.cat/es/maravilloso-mahler_1310522;Maravilloso Mahler;#nuevosformatos,#enfamilia;06/04/2025 12:00;12 €;"#nuevosformatos#enfamiliaMaravilloso Mahler—De la oscuridad a la luz (a partir de 8 años)Ficha artísticaGerman de la Riva, barítono y percusiónNerea de Miguel, mezzo, violonchelo y percusiónLaia Pujolassos, violín y vozLaura Díaz, oboe, percusión y vozRamon Figueras, trompeta y vozRafael Planelles, trompa, percusión y vozJeremy Friedman, percusión y vozPedro Pardo, piano, ukelele, voz y dirección musicalFrancesc Abós, dirección escénica y coreográficaGemma Canadell, dirección artística
 DetallesLa noche y el día, la luz y la oscuridad, la sonrisa y el llanto, la salida del sol y el crepúsculo. Todos los mundos tienen cabida en la música de Gustav Mahler, uno de los grandes compositores de la historia universal. Con este concierto-espectáculo aprenderemos a contemplar, a escuchar y a maravillarnos ante la belleza infinita de sus canciones, que desde el inicio se convertirán en el motor musical de un nuevo universo sonoro.Comprar entradas"
https://www.palaumusica.cat/es/el-cor-de-noies-basilio-astulez_1311534;El Cor de Noies & Basilio Astúlez;#coral,#enfamilia;06/04/2025 17:00;15 €;#coral#enfamiliaEl Cor de Noies & Basilio Astúlez—‘Devotions’Ficha artísticaCor de Noies del Orfeó Català (Montserrat Meneses, directora)Alvaro Metzger, pianoIñigo Ducar, percusiónBasilio Astúlez, directorProgramaDevotionsJ. Busto: Gauaren zergatiaren bilaK. Gimon: The elements (tres primeros movimientos)M. Engelhardt: O antiquii sanctiE. Rautavaara: El gritoS. Abu Khader: Lao rahal sotiL. Adams: Micmaq’ honour songD. Lim: The firedance of lunaL. Jekabsone: Father ThunderM. McGlynn: Media vitaDetallesBasilio Astúlez retoma su colaboración con la Escola Coral de l’Orfeó Català, en concreto con el Cor de Noies de l’Orfeó Català, para dirigir este concierto bautizado como Devotions, de fuerte componente escénico y coreográfico. El director vasco lo define como una puerta abierta a la fe y la pasión, un viaje desde las creencias y mitos hasta la magia, una propuesta musical sin fronteras que promete emocionar a quien lo escuche.Comprar entradas
https://www.palaumusica.cat/es/-chichester-psalms-de-bernstein_1308613;‘Chichester psalms’ de Bernstein;#coral,#sinfónica,#contemporánea,#modernismo;06/04/2025 17:30;de 20 a 68 €;"#coral#sinfónica#contemporánea#modernismo‘Chichester psalms’ de Bernstein—Orquestra Simfònica del Vallès & PuigFicha artísticaCor de Cambra de Granollers (Josep Vila, director)Cor de Cambra de l’Auditori Enric Granados (Xavier Puig, director) Cor de la Universitat Rovira i Virgili (Montserrat Ríos, directora) Coral Mixta d’Igualada (Francesc Minguella, director) Cor Montserrat de Terrassa (Rosa M. Ribera, directora)Orquestra Simfònica del VallèsXavier Puig, directorProgramaA. COPLAND: Fanfare for the common manS. BARBER: Adagio, Agnus DeiA. R. RAHMAN: Zikr-Un canto islámicoL. BERNSTEIN: Chichester psalmsK. JENKINS: El hombre armado: una misa para la pazDetallesBarber, Copland, Jenkins y... ¡Bernstein! Música clásica desde Estados Unidos con los Chichester Psalms como elemento central. Una vibrante obra coral compuesta por Leonard Bernstein en 1965 que combina textos en hebreo de los Salmos de la Biblia con influencias musicales diversas, incluyendo elementos de la música judía, la música clásica y el jazz. La pieza está dividida en tres movimientos y es una de las obras más conocidas de Bernstein fuera de su repertorio de teatro musical. Acompañados por el Coro de Cámara de Granollers y otros coros del territorio escucharemos una selección de obras sinfónico-corales de grandes compositores estadounidenses en un concierto dirigido por Xavier Puig.Oferta especialVisita libre+ Concierto
El Palau es un templo de la música y la arquitectura. Disfruta de una visita libre para conocer la historia y construcción de la única sala de conciertos modernista patrimonio mundial por la UNESCO (16 h) y de un concierto (17:30 h) para entender la magia de lo que no es solo un monumento, sino una sala viva.
Precio 50 €. Hay que elegir butaca en la categoría C (primer piso lateral filas 3 y 4, segundo piso entre las filas 2 y 11, palcos del segundo piso fila 1 y galerías del órgano) y seleccionar en el desplegable la tarifa ""Visita libre + concierto"". Inicio visita a las 16 h.
Compra aquíComprar entradas"
https://www.palaumusica.cat/es/gran-gala-flamenco_927626;Gran Gala Flamenco;#flamenco;06/04/2025 21:30;de 35 a 75 €;"#flamencoGran Gala FlamencoAvisoLas sesiones de los días 11 de abril, 30 de mayo, 13 de junio, 16 de julio y 8 de noviembre de 2025 tendrán lugar en la sala Petit Palau.Ficha artísticaMúsicos:Luis Santiago Amaya “El Tati”, guitarra Juan Gómez “Chicuelo”, guitarra Carlos Caro, violínJ. Sánchez, percusión
Cantaores:Ana Brenes Ana Colom Joaquín “El Duende”“La Tana” Bailaores:Eli Ayala Mathilde AntónMarina Walpercin Nacho Blanco Ricardo Fernandez “El Tete” José Maldonado 
Dirección artística: Eli Ayala
Dirección musical:Luis Santiago Amaya “El Tati”Juan Gómez “Chicuelo”DetallesGran Gala Flamenco: Un viaje por el corazón del flamencoEl espectáculo flamenco más visto en la historia de Barcelona
Gran Gala Flamenco ofrece a sus espectadores un viaje integral al mundo del flamenco, donde encontrará todo lo que pueda imaginar sobre este arte: castañuelas, abanicos, hermosos y sensuales vestidos y música original. Este conjunto es el motivo de que lleve 18 años de programación ininterrumpida. A diferencia de los tablaos, en nuestros shows el espectador es testigo de coreografías, creadas por aclamadas compañías de baile de Cataluña y España.
Un show único, una sucesión de sensaciones, derivadas de ritmos que definen el arte flamenco, patrimonio inmaterial de la humanidad.
El espectador viajará por los diferentes “palos” del flamenco (patrones rítmicos) como “bulería”, festero y alegre, “soleá” solemne e intenso, “alegría” dinámico y desenvuelto, “tango”, “guajira”, “farruca”).
Presentando la nueva generación catalana de artistas, Gran Gala Flamenco ofrece la unión perfecta entre corazón y alma, música y danza, pasión y ritmo.Comprar entradas"
https://www.palaumusica.cat/es/concierto-fundacio-sentiments-a-r_1433795;Concierto Fundació Sentiments A.R.;;07/04/2025 20:00;de 30 a 60 €;"Concierto Fundació Sentiments A.R.Ficha artísticaConjunt instrumental SentimentsMaria Rosa Raventós, pianoManel Barea, piano directorMiguel Arrue, tuba directorProgramaPresentación de Maria Rosa Raventós
Los Chunguitos-Rosalia: Me quedo contigo (Manel Barea, piano)M. R. Raventós: Sentiments (Maria Rosa Raventós y Manel Barea, piano)G. Puccini: “O mio babbino caro” de Gianni Schicchi (Anna Slizinova, soprano)M. R. Raventós: El silenci del cristall (Maria Rosa Raventós y Manel Barea, piano)G. Puccini: “Nessun dorma” de Turandot (Anna Slizinova, soprano)P. McCartney: Beautiful night (Anna Slizinova, soprano)W. A. Mozart: “Là ci darem la mano” de Don Giovanni (Anna Slizinova, soprano, Holger Horn, bajo-barítono)M. R. Raventós: Barcelona from Barea (Maria Rosa Raventós, piano, Joan González, guitarra, Jordi Casas, clarinete)Bis instrumentalCon la colaboración especial de XESCADetallesDefinición Sentir Música El propio equipo de personas multidisciplinar que desde hace años les surgió la idea de organizar proyectos altruistas y artísticos, que a lo largo del tiempo se van consolidando, sigue organizando conciertos en diferentes ubicaciones. Contamos con un gran equipo humano donde existe un importante esfuerzo que construye un concierto donde cada partitura tiene una gran importancia.  Sentir Música, no se refiere a escucharla sino a que los músicos que la interpretan tienen sentimientos a través de ella. Los asistentes a este concierto escucharán partituras que hasta ahora no se han representado: obras de órgano, piano y banda sinfónica que nunca han sido representadas anteriormente.  Gracias a la ayuda de los asistentes se podrá destinar la recaudación de los beneficios a diferentes entidades en las que más lo necesitan.Comprar entradas"
https://www.palaumusica.cat/es/diana-damrau-jonas-kaufmann-helmut-deutsch_1280691;Diana Damrau, Jonas Kaufmann & Helmut Deutsch;#lied,#grandesfiguras,#conciertosaccesibles;08/04/2025 20:00;De 28 a 150 €;"#lied#grandesfiguras#conciertosaccesiblesDiana Damrau, Jonas Kaufmann & Helmut Deutsch—‘Liederabend’AvisoConcierto con subtitulación en catalán.Ficha artísticaDiana Damrau, sopranoJonas Kaufmann, tenorHelmut Deutsch, pianoProgramaRichard Strauss:“Zueignung” de 8 Gedichte aus “Letzte Blätter”, op. 10, núm. 1“Nichts” de 8 Gedichte aus “Letzte Blätter”, op. 10, núm.. 2“Die Nacht” de 8 Gedichte aus “Letzte Blätter”, op. 10, núm. 3“Die Georgine” de 8 Gedichte aus “Letzte Blätter”,, op. 10, núm. 4“Geduld” de 8 Gedichte aus “Letzte Blätter”, op. 10, núm. 5“Die Zeitlose” de 8 Gedichte aus “Letzte Blätter”, op. 10, núm. 7“Die Verschwiegenen” de 8 Gedichte aus “Letzte Blätter”, op. 10, núm. 6Wer hat’s getan, op. 84A“Allerseelen” de 8 Gedichte aus “Letzte Blätter”, op. 10, núm. 8“Liebeshymnus” de Fünf Lieder, op. 32, núm. 3“Schlagende Herzen” de Drei Lieder, op. 29, núm. 2“Ich trage meine Minne” de Fünf Lieder, op. 32, núm. 1“Einerlei” de Fünf kleine Lieder, op. 69, núm. 3“Nachtgang” de Drei Lieder, op. 29, núm. 3“Freundliche Vision” de Fünf Lieder, op. 48, núm. 1“Ich liebe dich” de Sechs Lieder, op. 37, núm. 2“Amor” de Sechs Lieder, op. 68, núm. 5
Gustav Mahler:“Rheinlegendchen” de Des Knaben Wunderhorn“Um schlimme Kinder artig zu machen” de Lieder und Gesänge aus der Jugendzeit“Wer hat dies Liedlein erdacht” de Des Knaben Wunderhorn“Ablösung im Sommer” de Lieder und Gesänge aus der Jugendzeit“Es sungen drei Engel einen süssen Gesang” de Des Knaben Wunderhorn“Ich atmet‘ einen linden Duft” de Rückert Lieder“Liebst du um Schönheit” de Rückert Lieder“Blicke mir nicht in die Lieder” de Rückert Lieder“Ich bin der Welt abhanden gekommen” de Rückert Lieder
Richard Strauss:“Leises Lied” de Fünf Lieder, op. 39, núm. 1“Wozu noch, Mädchen” de Sechs Lieder aus Lotosblätter, op. 19, núm. 1“Breit über mein Haupt” de Sechs Lieder aus Lotosblätter, op. 19, núm. 2“Ich schwebe” de Fünf Lieder, op. 48, núm. 2“Heimliche Aufforderung” de Vier Lieder, op. 27, núm. 3“Ruhe, meine Seele” de Vier Lieder, op. 27, núm. 1“Morgen” de Vier Lieder, op. 27, núm. 4“Cäcilie” de Vier Lieder, op. 27, núm. 2DetallesEste concierto forma parte del festival Barcelona Obertura Ciutat de Clàssica, que se celebra del 19 de marzo al 11 de abril de 2025 en diversos auditorios y espacios de la ciudad.Diana Damrau y Jonas Kaufmann, dos de los cantantes del ámbito germánico más destacados de nuestros días, vuelven a coincidir en el Palau de la Música Catalana para ofrecer un recital de lied, en este caso acompañados de Helmut Deutsch al piano. Los autores escogidos, Strauss y Mahler, fueron, más allá de grandes exponentes del género, contemporáneos y amigos que se profesaban admiración mutua.Gustav Mahler i Richard Strauss, los dos grandes compositores del periodo romántico tardío, se encuentran por primera vez a mediados de sus veinte años y continúan siendo amigos de toda la vida. Se aprecian y se admiran a pesar de los múltiples contrastes: el mismo Mahler también es consciente de sus diferencias: “Schopenhauer usa en algún lugar la imagen de dos mineros que cavan un túnel desde lados opuestos y después se encuentran por sus caminos subterráneos. Esto parece que caracteriza bien mi relación con Strauss”. El programa incluye piezas alegres y serias de Gustav Mahler, así como canciones de amor de Richard Strauss.Noticias relacionadas2 abril 2025Jonas Kaufmann y Diana Damrau ofrecerán un recital de lied con canciones de Richard Strauss y Gustav Mahler el 8 de abril, junto al pianista Helmut DeutschComprar entradas"
https://www.palaumusica.cat/es/rias-kammerchor-berlin-akamus-doyle_1305531;RIAS Kammerchor Berlin, AKAMUS & Doyle;#antigua,#coral,#músicauniversal,#conciertosaccesibles,#antigua,#coral,#músicauniversal,#conciertosaccesibles;09/04/2025 19:00;de 18 a 95 €;"#antigua#coral#músicauniversal#conciertosaccesiblesRIAS Kammerchor Berlin, AKAMUS & Doyle—‘Pasión según san Mateo’AvisoConcierto con subtitulación en catalán.Ficha artísticaElisabeth Breuer, soprano Anna Lucia Richter, mezzosoprano Patrick Grahl, tenor (Evangelista) Thomas Hobbs, tenor Matthew Brook, bajo (Jesús) Stephan Loges, bajoRIAS Kammerchor Berlín Akademie für Alte Musik Berlín Justin Doyle, directorProgramaJ. S. BACH: Pasión según san Mateo, BWV 244DetallesEste concierto forma parte del festival Barcelona Obertura Ciutat de Clàssica, que se celebra del 19 de marzo al 11 de abril de 2025 en diversos auditorios y espacios de la ciudad.La Pasión según San Mateo de Bach es reconocida por muchos como una de las composiciones más importantes de la historia de la música. Fue estrenada el Viernes Santo de 1727 y desde entonces no ha dejado de impresionar a generaciones de las más distintas procedencias e incluso creencias gracias a su poderosa combinación de música y texto, que la convierte al mismo tiempo en compleja, directa y catártica. Como cada año, retorna al Palau de la Música, en esta ocasión con el RIAS Kammerchor y la formación AKAMUS, ambas de Berlín, dirigidas por Justin Doyle.
Hemeroteca
Una selección de algunos de los artículos más destacados de la Revista Musical Catalana.
LéelosOferta especialVisita libre+ Concierto
El Palau es un templo de la música y la arquitectura. Disfruta de una visita libre para conocer la historia y construcción de la única sala de conciertos modernista patrimonio mundial por la UNESCO (16 h) y de un concierto (17:30 h) para entender la magia de lo que no es solo un monumento, sino una sala viva.
Precio paquete Visita+Concierto desde 25 €  Inicio visita a las 17:45 h.
Compra aquíProgramación relacionadaVox Luminis, FBO & Meunier—‘Pasión según san Juan’#antigua#coral#músicauniversal#conciertosaccesibles+ info11 de abril de 202519:00 hSala de ConciertosComprar entradas"
